StoreName,rewardid,rewardOfferId,itemPriceId
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
amazon,RWM0004022,ROM0009189,RIT0022074:RIP0025797
